arrivalTime,serviceTime,waitTime,startTime,endTime
4,6,0,4,10
7,9,0,7,16
10,9,0,10,19
15,5,1,15,21
17,6,2,17,25
20,7,1,20,28
23,5,2,23,30
26,5,2,26,33
29,7,1,29,37
33,8,0,33,41
37,8,0,37,45
40,9,1,40,50
43,6,2,43,51
47,7,3,47,57
49,5,2,49,56
53,8,3,53,64
58,6,0,58,64
62,5,2,62,69
65,8,0,65,73
68,7,1,68,76
71,5,2,71,78
76,6,0,76,82
79,5,0,79,84
83,7,0,83,90
88,7,0,88,95
92,7,0,92,99
94,5,1,94,100
97,7,2,97,106
99,6,1,99,106
103,5,3,103,111
107,6,0,107,113
111,5,0,111,116
113,7,0,113,120
115,9,1,115,125
120,7,0,120,127
124,7,1,124,132
128,6,0,128,134
132,5,0,132,137
135,9,0,135,144
139,6,0,139,145
142,25,2,142,169
144,9,1,144,154
147,8,7,147,162
149,5,13,149,167
155,6,12,155,173
158,6,11,158,175
163,6,10,163,179
168,5,7,168,180
172,7,7,172,186
176,9,4,176,189
181,7,5,181,193
184,6,5,184,195
188,6,5,188,199
189,8,6,189,203
194,5,5,194,204
198,8,5,198,211
202,8,2,202,212
207,5,4,207,216
210,7,2,210,219
215,5,1,215,221
217,5,2,217,224
220,5,1,220,226
225,9,0,225,234
227,7,0,227,234
230,5,4,230,239
233,8,1,233,242
235,6,4,235,245
236,5,6,236,247
240,9,5,240,254
243,7,4,243,254
247,7,7,247,261
250,9,4,250,263
253,6,8,253,267
255,8,8,255,271
260,8,7,260,275
264,7,7,264,278
268,6,7,268,281
271,6,7,271,284
274,8,7,274,289
276,8,8,276,292
281,8,8,281,297
284,7,8,284,299
288,8,9,288,305
290,8,9,290,307
294,5,11,294,310
298,5,9,298,312
302,5,8,302,315
304,9,8,304,321
307,8,8,307,323
311,9,10,311,330
315,5,8,315,328
320,7,8,320,335
324,9,6,324,339
328,8,7,328,343
334,8,5,334,347
337,5,6,337,348
340,5,7,340,352
346,8,2,346,356
349,5,3,349,357
352,9,4,352,365
354,6,3,354,363
357,7,6,357,370
359,6,6,359,371
362,8,8,362,378
365,7,6,365,378
369,6,9,369,384
373,5,5,373,383
377,6,6,377,389
380,5,4,380,389
384,9,5,384,398
389,5,0,389,394
393,5,1,393,399
398,5,0,398,403
402,8,0,402,410
406,6,0,406,412
408,7,2,408,417
412,9,0,412,421
414,6,3,414,423
416,7,5,416,428
418,5,5,418,428
421,5,7,421,433
426,6,2,426,434
431,9,2,431,442
433,7,1,433,441
436,5,5,436,446
439,6,3,439,448
442,7,4,442,453
444,6,4,444,454
448,5,5,448,458
450,9,4,450,463
453,5,5,453,463
455,9,8,455,472
461,7,2,461,470
465,8,5,465,478
469,6,3,469,478
475,7,3,475,485
479,5,0,479,484
483,6,1,483,490
485,6,0,485,491
488,7,2,488,497
492,5,0,492,497
497,7,0,497,504
500,8,0,500,508
505,6,0,505,511
508,6,0,508,514
510,8,1,510,519
513,7,1,513,521
517,7,2,517,526
520,7,1,520,528
522,8,4,522,534
527,5,1,527,533
530,6,3,530,539
534,8,0,534,542
536,9,3,536,548
540,9,2,540,551
542,7,6,542,555
545,7,6,545,558
549,7,6,549,562
551,6,7,551,564
553,5,9,553,567
555,6,9,555,570
558,9,9,558,576
563,9,7,563,579
567,5,9,567,581
572,7,7,572,586
574,5,7,574,586
578,9,8,578,595
582,9,4,582,595
586,7,9,586,602
591,5,4,591,600
594,5,6,594,605
598,6,4,598,608
601,9,4,601,614
605,9,3,605,617
609,5,5,609,619
611,9,6,611,626
615,5,4,615,624
619,7,5,619,631
622,8,4,622,634
624,6,7,624,637
627,6,7,627,640
631,5,6,631,642
635,9,5,635,649
641,9,1,641,651
645,8,4,645,657
647,6,4,647,657
650,8,7,650,665
653,6,4,653,663
656,9,7,656,672
659,7,6,659,672
661,6,11,661,678
664,7,8,664,679
669,8,9,669,686
672,7,7,672,686
677,7,9,677,693
682,9,4,682,695
686,7,7,686,700
689,9,6,689,704
693,8,7,693,708
695,7,9,695,711
700,8,8,700,716
705,8,6,705,719
710,5,6,710,721
713,8,6,713,727
718,6,3,718,727
721,6,6,721,733
723,7,4,723,734
727,5,6,727,738
729,7,5,729,741
732,7,6,732,745
738,7,3,738,748
741,5,4,741,750
745,9,3,745,757
750,5,0,750,755
754,9,1,754,764
759,9,0,759,768
761,6,3,761,770
763,6,5,763,774
767,6,3,767,776
773,7,1,773,781
779,8,0,779,787
783,5,0,783,788
789,6,0,789,795
793,8,0,793,801
797,9,0,797,806
801,9,0,801,810
802,5,4,802,811
804,8,6,804,818
807,6,4,807,817
811,6,6,811,823
814,8,4,814,826
815,7,8,815,830
819,7,7,819,833
823,6,7,823,836
826,6,7,826,839
830,9,6,830,845
833,5,6,833,844
836,8,8,836,852
840,7,5,840,852
843,6,9,843,858
846,9,6,846,861
850,6,8,850,864
855,5,6,855,866
857,9,7,857,873
862,9,4,862,875
864,5,9,864,878
867,7,8,867,882
872,5,6,872,883
875,6,7,875,888
880,5,3,880,888
