arrivalTime,serviceTime,waitTime,startTime,endTime
5,5,0,5,10
8,6,0,8,14
12,9,0,12,21
15,5,0,15,20
18,6,2,18,26
23,6,0,23,29
26,5,0,26,31
31,9,0,31,40
34,8,0,34,42
36,7,4,36,47
40,6,2,40,48
45,7,2,45,54
50,9,0,50,59
52,5,2,52,59
56,6,3,56,65
59,8,0,59,67
62,9,3,62,74
65,5,2,65,72
68,5,4,68,77
73,6,1,73,80
76,9,1,76,86
79,6,1,79,86
83,5,3,83,91
86,9,0,86,95
89,6,2,89,97
92,8,3,92,103
94,9,3,94,106
99,8,4,99,111
102,6,4,102,112
106,6,5,106,117
111,7,1,111,119
114,7,3,114,124
117,6,2,117,125
120,9,4,120,133
123,7,2,123,132
127,8,5,127,140
130,9,3,130,142
132,6,8,132,146
134,5,8,134,147
139,6,7,139,152
142,7,5,142,154
146,8,6,146,160
149,5,5,149,159
152,5,7,152,164
155,8,5,155,168
156,9,8,156,173
159,7,9,159,175
163,9,10,163,182
167,6,8,167,181
170,6,11,170,187
173,8,9,173,190
177,8,10,177,195
182,5,8,182,195
186,7,9,186,202
189,9,6,189,204
193,5,9,193,207
195,6,9,195,210
198,6,9,198,213
202,9,8,202,219
205,7,8,205,220
210,8,9,210,227
214,6,6,214,226
217,9,9,217,235
220,5,7,220,232
224,6,8,224,238
229,6,6,229,241
232,8,6,232,246
237,6,4,237,247
238,5,8,238,251
241,6,6,241,253
245,6,6,245,257
248,6,5,248,259
253,5,4,253,262
259,6,0,259,265
264,5,0,264,269
268,8,0,268,276
271,6,0,271,277
275,5,1,275,281
278,6,0,278,284
280,5,1,280,286
286,9,0,286,295
289,5,0,289,294
293,6,1,293,300
297,7,0,297,304
301,5,0,301,306
303,5,1,303,309
306,6,0,306,312
309,7,0,309,316
313,5,0,313,318
316,6,0,316,322
319,8,0,319,327
323,5,0,323,328
325,6,2,325,333
329,6,0,329,335
333,9,0,333,342
336,7,0,336,343
341,7,1,341,349
344,6,0,344,350
346,8,3,346,357
348,7,2,348,357
352,6,5,352,363
355,6,2,355,363
358,9,5,358,372
364,9,0,364,373
369,5,3,369,377
373,7,0,373,380
377,6,0,377,383
383,7,0,383,390
388,6,0,388,394
391,9,0,391,400
394,8,0,394,402
396,6,4,396,406
402,9,0,402,411
405,7,1,405,413
407,5,4,407,416
411,9,2,411,422
414,9,2,414,425
419,7,3,419,429
421,8,4,421,433
424,5,5,424,434
429,6,4,429,439
432,6,2,432,440
436,8,3,436,447
439,7,1,439,447
440,6,7,440,453
443,6,4,443,453
449,9,4,449,462
451,7,2,451,460
454,7,6,454,467
457,7,5,457,469
463,5,4,463,472
465,8,4,465,477
468,6,4,468,478
472,6,5,472,483
474,5,4,474,483
478,8,5,478,491
482,5,1,482,488
485,9,3,485,497
489,5,2,489,496
494,8,2,494,504
497,6,0,497,503
499,9,4,499,512
502,6,2,502,510
507,6,3,507,516
512,6,0,512,518
515,6,1,515,522
519,5,0,519,524
520,9,2,520,531
525,7,0,525,532
526,5,5,526,536
532,5,0,532,537
537,6,0,537,543
542,8,0,542,550
545,9,0,545,554
550,6,0,550,556
553,9,1,553,563
556,7,0,556,563
558,7,5,558,570
560,8,3,560,571
562,5,8,562,575
565,7,6,565,578
567,6,8,567,581
570,5,8,570,583
575,5,6,575,586
578,6,5,578,589
580,6,6,580,592
584,9,5,584,598
588,5,4,588,597
591,8,6,591,605
595,5,3,595,603
599,6,4,599,609
603,5,2,603,610
609,6,0,609,615
614,5,0,614,619
616,7,0,616,623
621,6,0,621,627
624,5,0,624,629
628,7,0,628,635
631,8,0,631,639
636,7,0,636,643
637,7,2,637,646
642,6,1,642,649
644,9,2,644,655
646,6,3,646,655
649,8,6,649,663
652,8,3,652,663
654,8,9,654,671
658,5,5,658,668
662,5,6,662,673
665,8,6,665,679
668,7,5,668,680
670,5,9,670,684
674,8,6,674,688
678,8,6,678,692
681,9,7,681,697
687,9,5,687,701
690,8,7,690,705
693,9,8,693,710
698,9,7,698,714
704,9,6,704,719
709,25,5,709,739
712,7,7,712,726
717,7,9,717,733
721,8,12,721,741
724,5,15,724,744
726,5,15,726,746
730,7,14,730,751
732,6,14,732,752
735,8,16,735,759
737,6,15,737,758
739,6,19,739,764
744,7,15,744,766
748,6,16,748,770
750,9,16,750,775
752,8,18,752,778
756,7,19,756,782
759,6,19,759,784
762,9,20,762,791
765,5,19,765,789
769,8,20,769,797
772,8,19,772,799
775,5,22,775,802
779,7,20,779,806
782,9,20,782,811
786,5,20,786,811
789,8,22,789,819
792,7,19,792,818
797,7,21,797,825
799,7,20,799,826
802,7,23,802,832
806,5,20,806,831
808,7,23,808,838
811,8,21,811,840
815,8,23,815,846
819,5,21,819,845
823,5,22,823,850
829,6,17,829,852
831,9,19,831,859
836,6,16,836,858
839,5,19,839,863
842,9,17,842,868
846,6,17,846,869
852,7,16,852,875
854,6,15,854,875
859,8,16,859,883
861,7,14,861,882
863,5,19,863,887
868,7,15,868,890
872,7,15,872,894
876,9,14,876,899
