arrivalTime,serviceTime,waitTime,startTime,endTime
3,9,0,3,12
5,6,0,5,11
8,9,3,8,20
11,6,1,11,18
14,7,4,14,25
17,7,3,17,27
21,5,4,21,30
24,6,3,24,33
26,8,4,26,38
29,5,4,29,38
31,5,7,31,43
36,5,2,36,43
40,7,3,40,50
45,7,0,45,52
49,7,1,49,57
52,5,0,52,57
56,7,1,56,64
59,8,0,59,67
64,8,0,64,72
67,8,0,67,75
71,9,1,71,81
77,7,0,77,84
82,9,0,82,91
85,7,0,85,92
88,5,3,88,96
92,6,0,92,98
98,8,0,98,106
102,9,0,102,111
106,9,0,106,115
111,6,0,111,117
115,7,0,115,122
117,5,0,117,122
119,8,3,119,130
121,9,1,121,131
126,6,4,126,136
128,7,3,128,138
130,7,6,130,143
133,5,5,133,143
137,7,6,137,150
139,6,4,139,149
142,6,7,142,155
146,5,4,146,155
149,8,6,149,163
153,6,2,153,161
157,6,4,157,167
160,7,3,160,170
163,5,4,163,172
166,7,4,166,177
168,6,4,168,178
170,7,7,170,184
174,8,4,174,186
176,8,8,176,192
180,5,6,180,191
184,8,7,184,199
189,5,3,189,197
194,7,3,194,204
198,9,1,198,208
201,7,3,201,211
204,6,4,204,214
207,5,4,207,216
210,9,4,210,223
214,7,2,214,223
217,6,6,217,229
220,7,3,220,230
223,5,6,223,234
227,8,3,227,238
231,6,3,231,240
233,5,5,233,243
235,8,5,235,248
238,9,5,238,252
241,7,7,241,255
246,5,6,246,257
248,6,7,248,261
253,8,4,253,265
256,6,5,256,267
262,9,3,262,274
265,5,2,265,272
268,7,4,268,279
270,6,4,270,280
275,6,4,275,285
277,6,3,277,286
280,9,5,280,294
283,5,3,283,291
287,9,4,287,300
289,8,5,289,302
294,9,6,294,309
298,6,4,298,308
301,9,7,301,317
304,7,5,304,316
307,5,9,307,321
310,8,7,310,325
313,8,8,313,329
315,5,10,315,330
318,5,11,318,334
323,9,7,323,339
328,7,6,328,341
331,6,8,331,345
333,9,8,333,350
336,5,9,336,350
340,7,10,340,357
346,6,4,346,356
351,7,5,351,363
353,7,4,353,364
357,9,6,357,372
360,8,4,360,372
364,7,8,364,379
367,7,5,367,379
371,5,8,371,384
375,7,4,375,386
378,6,6,378,390
381,5,5,381,391
384,8,6,384,398
389,9,2,389,400
392,8,6,392,406
396,5,4,396,405
398,5,7,398,410
401,6,5,401,412
406,8,4,406,418
410,8,2,410,420
413,7,5,413,425
417,7,3,417,427
418,6,7,418,431
420,9,7,420,436
423,8,8,423,439
426,7,10,426,443
431,9,8,431,448
436,7,7,436,450
440,7,8,440,455
443,7,7,443,457
446,7,9,446,462
447,5,10,447,462
449,9,13,449,471
453,8,9,453,470
457,6,13,457,476
463,8,8,463,479
467,6,9,467,482
472,9,7,472,488
475,9,7,475,491
479,7,9,479,495
483,8,8,483,499
487,8,8,487,503
491,8,8,491,507
494,5,9,494,508
498,6,9,498,513
501,6,7,501,514
507,8,6,507,521
510,6,4,510,520
511,7,9,511,527
516,6,5,516,527
520,8,7,520,535
523,7,4,523,534
527,5,7,527,539
531,6,4,531,541
533,9,6,533,548
536,6,5,536,547
541,9,6,541,556
544,9,4,544,557
549,9,7,549,565
553,7,4,553,564
556,5,8,556,569
559,9,6,559,574
563,9,6,563,578
565,5,9,565,579
567,5,11,567,583
570,5,9,570,584
576,6,7,576,589
580,8,4,580,592
585,5,4,585,594
588,5,4,588,597
591,5,3,591,599
594,9,3,594,606
597,5,2,597,604
600,6,4,600,610
603,8,3,603,614
609,6,1,609,616
612,7,2,612,621
615,6,1,615,622
618,5,3,618,626
620,8,2,620,630
623,7,3,623,633
627,5,3,627,635
631,8,2,631,641
633,5,2,633,640
636,9,4,636,649
638,5,3,638,646
641,5,5,641,651
644,5,5,644,654
648,5,3,648,656
651,7,3,651,661
654,6,2,654,662
660,7,1,660,668
664,5,0,664,669
668,8,0,668,676
671,5,0,671,676
676,5,0,676,681
679,5,0,679,684
683,5,0,683,688
686,5,0,686,691
688,8,0,688,696
691,6,0,691,697
692,7,4,692,703
693,6,4,693,703
695,8,8,695,711
698,6,5,698,709
701,7,8,701,716
704,6,7,704,717
707,7,9,707,723
709,5,8,709,722
715,6,7,715,728
718,6,5,718,729
720,6,8,720,734
723,6,6,723,735
726,9,8,726,743
730,9,5,730,744
734,6,9,734,749
738,8,6,738,752
741,5,8,741,754
745,8,7,745,760
748,5,6,748,759
751,8,8,751,767
754,7,6,754,767
757,8,10,757,775
761,7,6,761,774
765,6,9,765,780
768,7,7,768,782
770,6,10,770,786
773,7,9,773,789
776,6,10,776,792
778,6,11,778,795
782,9,10,782,801
786,9,9,786,804
788,6,13,788,807
791,6,13,791,810
794,6,13,794,813
799,6,11,799,816
804,9,9,804,822
809,8,7,809,824
813,5,9,813,827
818,5,6,818,829
820,5,7,820,832
824,8,5,824,837
828,5,4,828,837
833,8,4,833,845
837,9,0,837,846
842,9,3,842,854
847,8,0,847,855
851,7,3,851,861
853,7,2,853,862
857,8,4,857,869
860,7,2,860,869
