arrivalTime,serviceTime,waitTime,startTime,endTime
4,9,0,4,13
6,8,0,6,14
9,9,4,9,22
12,9,2,12,23
15,6,7,15,28
19,9,4,19,32
23,5,5,23,33
28,8,4,28,40
32,5,1,32,38
37,7,1,37,45
41,8,0,41,49
44,5,1,44,50
48,5,1,48,54
50,6,0,50,56
52,9,2,52,63
57,7,0,57,64
61,6,2,61,69
65,5,0,65,70
70,6,0,70,76
74,7,0,74,81
77,7,0,77,84
80,5,1,80,86
83,5,1,83,89
86,8,0,86,94
89,7,0,89,96
92,8,2,92,102
94,8,2,94,104
97,9,5,97,111
103,6,1,103,110
106,5,4,106,115
111,8,0,111,119
115,5,0,115,120
117,8,2,117,127
122,9,0,122,131
127,8,0,127,135
131,6,0,131,137
134,9,1,134,144
136,6,1,136,143
138,6,5,138,149
141,5,3,141,149
145,9,4,145,158
148,6,1,148,155
154,7,1,154,162
157,5,1,157,163
160,5,2,160,167
166,9,0,166,175
170,6,0,170,176
174,8,1,174,183
178,25,0,178,203
181,9,2,181,192
184,6,8,184,198
186,8,12,186,206
189,8,14,189,211
192,5,14,192,211
194,5,17,194,216
196,5,15,196,216
199,8,17,199,224
202,5,14,202,221
205,7,16,205,228
209,6,15,209,230
212,9,16,212,237
215,6,15,215,236
217,7,19,217,243
219,8,18,219,245
224,5,19,224,248
229,7,16,229,252
232,8,16,232,256
235,7,17,235,259
238,5,18,238,261
243,6,16,243,265
248,5,13,248,266
253,6,12,253,271
256,25,10,256,291
261,8,10,261,279
263,7,16,263,286
265,7,21,265,293
268,9,23,268,300
272,5,21,272,298
276,8,22,276,306
281,8,19,281,308
283,8,23,283,314
285,9,23,285,317
287,9,27,287,323
291,6,26,291,323
296,5,27,296,328
299,6,24,299,329
304,6,24,304,334
308,6,21,308,335
312,5,22,312,339
315,8,20,315,343
319,8,20,319,347
324,6,19,324,349
327,7,20,327,354
332,5,17,332,354
336,7,18,336,361
339,6,15,339,360
342,8,18,342,368
345,9,16,345,370
348,8,20,348,376
352,5,18,352,375
356,5,19,356,380
359,5,17,359,381
364,6,16,364,386
368,7,13,368,388
372,7,14,372,393
373,6,15,373,394
378,7,15,378,400
382,6,12,382,400
387,7,13,387,407
392,7,8,392,407
396,9,11,396,416
399,5,8,399,412
401,7,11,401,419
404,7,12,404,423
408,9,11,408,428
412,8,11,412,431
414,5,14,414,433
419,7,12,419,438
421,9,12,421,442
426,9,12,426,447
429,6,13,429,448
433,7,14,433,454
435,6,13,435,454
438,8,16,438,462
441,8,13,441,462
445,6,17,445,468
449,6,13,449,468
454,7,14,454,475
458,5,10,458,473
462,7,11,462,480
467,9,8,467,484
470,5,10,470,485
473,9,11,473,493
477,5,8,477,490
480,6,10,480,496
484,9,9,484,502
490,8,6,490,504
493,5,9,493,507
497,5,7,497,509
502,5,5,502,512
508,9,1,508,518
513,9,0,513,522
517,6,1,517,524
520,6,2,520,528
523,5,1,523,529
528,8,0,528,536
531,5,0,531,536
535,6,1,535,542
539,8,0,539,547
541,9,1,541,551
542,5,5,542,552
546,7,5,546,558
550,7,2,550,559
553,7,5,553,565
556,7,3,556,566
559,6,6,559,571
563,6,3,563,572
567,6,4,567,577
570,8,2,570,580
573,5,4,573,582
578,9,2,578,589
582,7,0,582,589
585,5,4,585,594
588,8,1,588,597
590,7,4,590,601
592,6,5,592,603
595,8,6,595,609
598,5,5,598,608
603,6,5,603,614
607,7,2,607,616
610,5,4,610,619
614,8,2,614,624
618,6,1,618,625
621,8,3,621,632
625,6,0,625,631
628,8,3,628,639
632,5,0,632,637
635,6,2,635,643
641,6,0,641,647
643,9,0,643,652
646,6,1,646,653
649,6,3,649,658
652,6,1,652,659
656,9,2,656,667
661,6,0,661,667
665,6,2,665,673
667,7,0,667,674
670,5,3,670,678
672,7,2,672,681
677,6,1,677,684
679,8,2,679,689
681,7,3,681,691
686,5,3,686,694
688,6,3,688,697
693,6,1,693,700
698,9,0,698,707
703,6,0,703,709
706,8,1,706,715
710,8,0,710,718
713,9,2,713,724
716,5,2,716,723
718,6,5,718,729
721,6,3,721,730
723,5,6,723,734
726,6,4,726,736
730,6,4,730,740
733,6,3,733,742
736,6,4,736,746
740,5,2,740,747
744,8,2,744,754
747,7,0,747,754
749,5,5,749,759
751,9,3,751,763
754,7,5,754,766
757,5,6,757,768
763,7,3,763,773
765,6,3,765,774
767,5,6,767,778
770,5,4,770,779
772,6,6,772,784
775,5,4,775,784
777,25,7,777,809
779,6,5,779,790
782,7,8,782,797
785,5,12,785,802
787,6,15,787,808
790,6,18,790,814
794,7,15,794,816
798,5,16,798,819
801,9,15,801,825
806,9,13,806,828
808,9,17,808,834
812,6,16,812,834
815,6,19,815,840
819,9,15,819,843
823,8,17,823,848
824,6,19,824,849
826,7,22,826,855
831,7,18,831,856
835,8,20,835,863
838,8,18,838,864
841,6,22,841,869
844,5,20,844,869
848,6,21,848,875
851,9,18,851,878
853,9,22,853,884
857,5,21,857,883
862,8,21,862,891
864,5,20,864,889
867,6,22,867,895
