arrivalTime,serviceTime,waitTime,startTime,endTime
4,9,0,4,13
6,5,0,6,11
8,6,3,8,17
12,5,1,12,18
15,5,2,15,22
18,9,0,18,27
21,9,1,21,31
24,6,3,24,33
28,5,3,28,36
32,7,1,32,40
36,9,0,36,45
40,6,0,40,46
45,7,0,45,52
48,6,0,48,54
50,9,2,50,61
53,9,1,53,63
56,8,5,56,69
62,7,1,62,70
64,6,5,64,75
66,7,4,66,77
69,9,6,69,84
72,6,5,72,83
75,5,8,75,88
77,9,7,77,93
81,7,7,81,95
86,8,7,86,101
88,9,7,88,104
91,9,10,91,110
95,6,9,95,110
99,7,11,99,117
102,6,8,102,116
107,7,9,107,123
110,6,7,110,123
115,6,8,115,129
119,6,4,119,129
124,7,5,124,136
128,6,1,128,135
132,6,3,132,141
136,7,0,136,143
140,8,1,140,149
144,6,0,144,150
149,7,0,149,156
151,8,0,151,159
154,5,2,154,161
158,5,1,158,164
163,9,0,163,172
166,5,0,166,171
171,7,0,171,178
176,9,0,176,185
178,8,0,178,186
182,8,3,182,193
184,7,2,184,193
186,8,7,186,201
190,7,3,190,200
194,8,6,194,208
196,5,5,196,206
200,9,6,200,215
202,5,6,202,213
206,5,7,206,218
210,6,5,210,221
214,7,4,214,225
216,7,5,216,228
219,6,6,219,231
223,5,5,223,233
227,5,4,227,236
229,6,4,229,239
233,25,3,233,261
238,5,1,238,244
244,6,0,244,250
247,6,3,247,256
252,6,4,252,262
254,9,7,254,270
257,9,5,257,271
261,6,9,261,276
266,9,5,266,280
270,9,6,270,285
272,5,8,272,285
275,6,10,275,291
278,8,7,278,293
282,5,9,282,296
285,7,8,285,300
289,8,7,289,304
293,5,7,293,305
298,7,6,298,311
301,6,4,301,311
304,7,7,304,318
307,6,4,307,317
310,5,7,310,322
312,6,6,312,324
315,9,7,315,331
316,5,8,316,329
319,8,10,319,337
323,5,8,323,336
327,9,9,327,345
330,6,7,330,343
335,5,8,335,348
338,5,7,338,350
341,9,7,341,357
347,5,3,347,355
350,9,5,350,364
351,6,6,351,363
354,6,9,354,369
358,6,6,358,370
362,9,7,362,378
365,6,5,365,376
368,6,8,368,382
372,7,6,372,385
376,9,6,376,391
379,7,6,379,392
383,7,8,383,398
386,7,6,386,399
392,5,6,392,403
394,8,5,394,407
397,5,6,397,408
399,9,8,399,416
402,9,6,402,417
405,5,11,405,421
407,8,10,407,425
411,9,10,411,430
414,9,11,414,434
418,7,12,418,437
421,8,13,421,442
424,9,13,424,446
427,6,15,427,448
432,9,14,432,455
437,9,11,437,457
442,5,13,442,460
444,6,13,444,463
447,7,13,447,467
452,6,11,452,469
456,7,11,456,474
461,6,8,461,475
463,6,11,463,480
466,8,9,466,483
469,6,11,469,486
472,8,11,472,491
477,6,9,477,492
482,7,9,482,498
487,8,5,487,500
492,5,6,492,503
496,5,4,496,505
501,5,2,501,508
505,7,0,505,512
507,7,1,507,515
511,8,1,511,520
513,25,2,513,540
517,7,3,517,527
519,5,8,519,532
524,5,8,524,537
529,7,8,529,544
532,5,8,532,545
535,9,9,535,553
536,5,9,536,550
538,6,12,538,556
540,5,13,540,558
544,9,12,544,565
546,6,12,546,564
551,7,13,551,571
554,6,11,554,571
557,8,14,557,579
561,5,10,561,576
563,9,13,563,585
567,6,12,567,585
571,7,14,571,592
575,7,10,575,592
578,5,14,578,597
582,9,10,582,601
588,8,9,588,605
593,5,8,593,606
598,8,7,598,613
602,6,4,602,612
605,6,7,605,618
607,7,6,607,620
612,5,6,612,623
615,8,5,615,628
619,9,4,619,632
623,5,5,623,633
629,9,3,629,641
632,8,1,632,641
638,5,3,638,646
640,5,1,640,646
645,6,1,645,652
649,8,0,649,657
651,7,1,651,659
655,8,2,655,665
658,9,1,658,668
662,7,3,662,672
665,6,3,665,674
666,8,6,666,680
671,8,3,671,682
673,6,7,673,686
676,9,6,676,691
679,5,7,679,691
684,7,7,684,698
689,7,2,689,698
693,6,5,693,704
696,5,2,696,703
698,9,5,698,712
702,6,2,702,710
705,9,5,705,719
709,6,3,709,718
712,8,6,712,726
717,9,2,717,728
721,9,5,721,735
725,8,3,725,736
730,9,5,730,744
736,6,0,736,742
740,9,2,740,751
743,8,1,743,752
747,7,4,747,758
750,9,2,750,761
752,5,6,752,763
756,8,5,756,769
760,9,3,760,772
765,7,4,765,776
768,7,4,768,779
771,5,5,771,781
776,8,3,776,787
780,7,1,780,788
784,6,3,784,793
787,6,1,787,794
790,8,3,790,801
794,6,0,794,800
797,8,3,797,808
800,6,1,800,807
805,8,2,805,815
810,9,0,810,819
813,5,2,813,820
817,6,2,817,825
822,5,0,822,827
825,7,0,825,832
828,9,0,828,837
831,5,1,831,837
836,5,1,836,842
840,6,0,840,846
842,7,0,842,849
846,6,0,846,852
851,5,0,851,856
853,9,0,853,862
856,5,0,856,861
857,6,4,857,867
860,9,2,860,871
862,7,5,862,874
866,8,5,866,879
870,6,4,870,880
873,6,6,873,885
876,6,4,876,886
878,8,7,878,893
881,6,5,881,892
886,6,6,886,898
